uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,etOHChangeDate,identifiedDate,sampleID,sampleCode,subsampleID,subsampleCode,sampleCondition,sampleType,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,individualCount,identificationReferences,nativeStatusCode,identifiedBy,recordedBy,remarks,identificationHistoryID,publicationDate,release
0edb0cdf-d1ca-4ef4-9cc6-dcb30322f041,JERC_001.basePlot.bet,D03,JERC,JERC_001,E,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2022-02-21T00:00:00Z,2021-06-23T00:00:00Z,2022-02-01T00:00:00Z,JERC_001.E.20210622,A00000130118,ArvEgVyhbJcj8WpTflDve0HaFabowc3QLOQa7zF4jNM=,NA,NA,carabid,ANIRUS,Anisodactylus rusticus,species,NA,Say,NA,1,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.",N,0000-0001-9861-5609,0000-0003-0743-8788,NA,NA,20240112T182015Z,RELEASE-2024
ffb42f7e-1f79-4f9e-b5e4-1f19752a67ed,JERC_002.basePlot.bet,D03,JERC,JERC_002,E,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2021-12-06T00:00:00Z,2021-06-23T00:00:00Z,2021-12-06T00:00:00Z,JERC_002.E.20210622,A00000130121,CV0ws5GtbhmuM2I7gGj67/+er0u97EDSH/thHMVkXSo=,A00000131282,NA,vert bycatch herp,SCAHOL,Scaphiopus holbrookii,species,NA,Harlan,NA,1,"Conant, R., and J. T. Collins. 1998. A Field Guide to Reptiles and Amphibians: Eastern and Central North America. 3rd Ed. Houghton Mifflin Company, New York, NY.",N,0000-0002-3174-4606,0000-0002-3174-4606,NA,NA,20240112T182015Z,RELEASE-2024
f6fe1a19-8db8-48b6-a77e-4621bd08441f,JERC_009.basePlot.bet,D03,JERC,JERC_009,E,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2021-07-06T00:00:00Z,2021-06-23T00:00:00Z,NA,JERC_009.E.20210622,A00000130139,21ilO4RJ2p9kLQGGO+gwKmVFuk0EfoHecc6Sj0mXgTM=,NA,NA,invert bycatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-3174-4606,NA,NA,20240112T182015Z,RELEASE-2024
e5e485ff-a650-483b-bc44-cd328b8eaad7,JERC_008.basePlot.bet,D03,JERC,JERC_008,S,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2021-07-06T00:00:00Z,2021-06-23T00:00:00Z,NA,JERC_008.S.20210622,A00000130129,S3j2Rzo+HUkwoHXMf9ZTfvojx57dBvvK5tju2T/x/L4=,NA,NA,invert bycatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-7872-0038,NA,NA,20240112T182015Z,RELEASE-2024
150474af-c71a-4c14-a5cb-39193fb025d5,JERC_003.basePlot.bet,D03,JERC,JERC_003,E,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2021-07-06T00:00:00Z,2021-06-23T00:00:00Z,NA,JERC_003.E.20210622,A00000130124,9IO0159G1yhGatIbrlrz9H9DgXuaiOan9fBsv3ssbSk=,NA,NA,invert bycatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-3174-4606,NA,NA,20240112T182015Z,RELEASE-2024
002b8c40-8f91-4e13-9085-8c83314ca8ee,JERC_008.basePlot.bet,D03,JERC,JERC_008,W,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2021-07-06T00:00:00Z,2021-06-23T00:00:00Z,NA,JERC_008.W.20210622,A00000130137,S3j2Rzo+HUl6/o27AuP2HohpE4dSfS6n1Ko1zlDv1jE=,NA,NA,invert bycatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-7872-0038,NA,NA,20240112T182015Z,RELEASE-2024
2d716101-9277-427f-9886-cb373d749351,JERC_008.basePlot.bet,D03,JERC,JERC_008,E,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2021-07-06T00:00:00Z,2021-06-23T00:00:00Z,NA,JERC_008.E.20210622,A00000130130,S3j2Rzo+HUmEir1C+EbT8SivQiKnW0b9XWMSY2CO1T4=,NA,NA,invert bycatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-7872-0038,NA,NA,20240112T182015Z,RELEASE-2024
6c577e96-b5cb-480f-8893-1426877b3bba,JERC_009.basePlot.bet,D03,JERC,JERC_009,W,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2021-07-06T00:00:00Z,2021-06-23T00:00:00Z,NA,JERC_009.W.20210622,A00000130140,21ilO4RJ2p+tNKprHG3dU1Azxf7kfnu6hU0qp2gNGWw=,NA,NA,invert bycatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-3174-4606,NA,NA,20240112T182015Z,RELEASE-2024
15fe9e78-fdbc-428e-9e2c-36f96f09e3ec,JERC_005.basePlot.bet,D03,JERC,JERC_005,E,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2021-07-05T00:00:00Z,2021-06-23T00:00:00Z,NA,JERC_005.E.20210622,A00000130127,Va9a3mr00GvZmtxkSpnKPahw+2DC7BFl5ZkeIjnvzag=,NA,NA,invert bycatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0003-0743-8788,NA,NA,20240112T182015Z,RELEASE-2024
01eb0a1e-12b2-4da7-8f08-624782121b85,JERC_003.basePlot.bet,D03,JERC,JERC_003,W,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2021-07-05T00:00:00Z,2021-06-23T00:00:00Z,NA,JERC_003.W.20210622,A00000130125,9IO0159G1yinY4Ox7PusbrAg6QzhcngLoYvFg3Hv54E=,NA,NA,invert bycatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0001-6893-5601,NA,NA,20240112T182015Z,RELEASE-2024
1ba3f85c-7166-41df-88f7-5c30387b13ed,JERC_005.basePlot.bet,D03,JERC,JERC_005,W,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2021-07-05T00:00:00Z,2021-06-23T00:00:00Z,NA,JERC_005.W.20210622,A00000130128,Va9a3mr00GuOWVijaJ0QOOQZS0Tgl83OvJEaH7usvZw=,NA,NA,invert bycatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0003-0743-8788,NA,NA,20240112T182015Z,RELEASE-2024
81b2c095-0ba3-4057-b800-1cbfb8da7f58,JERC_003.basePlot.bet,D03,JERC,JERC_003,S,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2021-07-05T00:00:00Z,2021-06-23T00:00:00Z,NA,JERC_003.S.20210622,A00000130123,9IO0159G1yhhFtQZGDU3DYfbaMCJxLcbNkpXRp67tdk=,NA,NA,invert bycatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0001-6893-5601,NA,NA,20240112T182015Z,RELEASE-2024
67ffccde-3e18-4c8f-9400-1c9ffd9bfcae,JERC_009.basePlot.bet,D03,JERC,JERC_009,S,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2021-07-05T00:00:00Z,2021-06-23T00:00:00Z,NA,JERC_009.S.20210622,A00000130138,21ilO4RJ2p/YI3kteBgdACeRfKxZPupoFdQTQgURAo4=,NA,NA,invert bycatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-3174-4606,NA,NA,20240112T182015Z,RELEASE-2024
d2c1ea36-40b2-4ab6-9d9b-586838e2e384,JERC_030.basePlot.bet,D03,JERC,JERC_030,E,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2021-07-05T00:00:00Z,2021-06-23T00:00:00Z,NA,JERC_030.E.20210622,A00000130145,AuAZEkdfggJMbDCiUe+EaOz2q37O170voqyVRuXW9/4=,NA,NA,invert bycatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-4028-6977,NA,NA,20240112T182015Z,RELEASE-2024
eaa0df95-1a0a-4a7e-b3bf-e805839bf6ec,JERC_007.basePlot.bet,D03,JERC,JERC_007,W,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2021-07-05T00:00:00Z,2021-06-23T00:00:00Z,NA,JERC_007.W.20210622,A00000130136,a/HTBHkllcMix8ybxLJh2Zq8L5IQ2/QUj2PHmrcQgs8=,NA,NA,invert bycatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-3174-4606,NA,NA,20240112T182015Z,RELEASE-2024
c34ab296-d0ac-4016-90f7-b9738cae9e90,JERC_030.basePlot.bet,D03,JERC,JERC_030,S,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2021-07-05T00:00:00Z,2021-06-23T00:00:00Z,NA,JERC_030.S.20210622,A00000130144,AuAZEkdfggICozCF62oeY75LQ4+4TshJVkfMhTooHD0=,NA,NA,invert bycatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-4028-6977,NA,NA,20240112T182015Z,RELEASE-2024
0e9d234c-6a29-41ab-b53d-7aef50b88783,JERC_010.basePlot.bet,D03,JERC,JERC_010,E,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2021-07-05T00:00:00Z,2021-06-23T00:00:00Z,NA,JERC_010.E.20210622,A00000130142,qRTVq00V1UkIVgR3O+OTLnKIA0NKtfOzOoJ0m/Vz+R8=,NA,NA,invert bycatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-4028-6977,0000-0002-4028-6977,NA,NA,20240112T182015Z,RELEASE-2024
